Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
CHEK2	bA444G7, CDS1, CHK2, HuCds1, PP1425, RAD53	ENSG00000183765	Checkpoint kinase 2	22	28687743-28742422	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001878, CAB002030	Uncertain		Supportive	Nucleus but not nucleoli, Golgi apparatus	Mixed			tonsil: 8.9
CHGA		ENSG00000100604	Chromogranin A (parathyroid secretory protein 1)	14	92923080-92935293	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000023, HPA017369, CAB040544, CAB055506, CAB058688	Supportive				Tissue enhanced	0	adrenal gland: 885.3	stomach: 252.0
CHGB	SCG1	ENSG00000089199	Chromogranin B (secretogranin 1)	20	5911430-5925361	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008759, CAB009403, HPA012602	Supportive		Supportive	Vesicles	Tissue enriched	21	adrenal gland: 2715.0	stomach: 130.0
CHI3L1	GP39, YKL40	ENSG00000133048	Chitinase 3-like 1 (cartilage glycoprotein-39)	1	203178931-203186749	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	bone marrow: 120.0;cerebral cortex: 125.2;urinary bladder: 151.1	appendix: 116.9
CHI3L2	YKL-39, YKL39	ENSG00000064886	Chitinase 3-like 2	1	111200771-111243440	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA005443	Uncertain				Tissue enhanced	0	appendix: 107.9;tonsil: 99.2	salivary gland: 65.6
CHIA	AMCase, CHIT2, TSA1902	ENSG00000134216	Chitinase, acidic	1	111290862-111320566	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA059193	Uncertain				Group enriched	10	lung: 4.4;stomach: 8.2	endometrium: 0.6
CHID1	FLJ42707, MGC3234	ENSG00000177830	Chitinase domain containing 1	11	867860-915058	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039374	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoskeleton (Intermediate filaments)	Expressed in all			fallopian tube: 66.2
CHIT1	CHI3, CHIT	ENSG00000133063	Chitinase 1 (chitotriosidase)	1	203212827-203273641	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA010575	Uncertain				Group enriched	16	bone marrow: 27.6;lung: 18.5;lymph node: 20.8	colon: 1.3
CHL1	CALL, FLJ44930, L1CAM2, MGC132578	ENSG00000134121	Cell adhesion molecule L1-like	3	196596-409417	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003345, CAB026120	Supportive				Tissue enhanced	0	cerebral cortex: 58.6	ovary: 15.3
CHN1	ARHGAP2, CHN, DURS2, n-chimerin, RhoGAP2	ENSG00000128656	Chimerin 1	2	174799363-175005369	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA036111			Uncertain	Cytoplasm	Tissue enriched	11	cerebral cortex: 327.1	placenta: 28.4
CHPF	CHSY2, CSS2	ENSG00000123989	Chondroitin polymerizing factor	2	219538947-219543787	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA035123	Uncertain		Supportive	Cytoplasm, Vesicles, Centrosome	Expressed in all			testis: 53.3
CHPF2	ChSy-3, CSGlcA-T, KIAA1402	ENSG00000033100	Chondroitin polymerizing factor 2	7	151232489-151238827	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA020992, HPA051582	Uncertain		Supportive	Nucleus, Cytoplasm	Expressed in all			urinary bladder: 16.0
CHRD		ENSG00000090539	Chordin	3	184380073-184390736	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA035827	Uncertain				Mixed			endometrium: 8.7
CHRDL1	CHL, MGC1, NRLN1	ENSG00000101938	Chordin-like 1	X	110673856-110795819	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000226, HPA000250	Supportive				Mixed			adipose tissue: 160.8
CHRDL2	BNF1	ENSG00000054938	Chordin-like 2	11	74696429-74731385	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021771	Uncertain		Uncertain	Mitochondria	Group enriched	13	appendix: 92.2;endometrium: 64.1;gallbladder: 100.1;smooth muscle: 91.5;urinary bladder: 33.5	placenta: 5.9
CHRNA2		ENSG00000120903	Cholinergic receptor, nicotinic, alpha 2 (neuronal)	8	27459762-27479883	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enriched	50	prostate: 25.2	cerebral cortex: 0.5
CHRNA5		ENSG00000169684	Cholinergic receptor, nicotinic, alpha 5 (neuronal)	15	78565520-78595269	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA054381	Uncertain				Mixed			gallbladder: 4.7
CHRNB1	CHRNB	ENSG00000170175	Cholinergic receptor, nicotinic, beta 1 (muscle)	17	7445061-7457707	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA005822, CAB011200	Uncertain				Expressed in all			skeletal muscle: 33.5
CHRND	ACHRD	ENSG00000135902	Cholinergic receptor, nicotinic, delta (muscle)	2	232525993-232536667	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enriched	10	skeletal muscle: 6.9	prostate: 0.6
CHST1	C6ST, KSGal6ST	ENSG00000175264	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	11	45648877-45665622	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 21.0	thyroid gland: 5.1
CHST10	HNK-1ST	ENSG00000115526	Carbohydrate sulfotransferase 10	2	100391860-100417656	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA012884, HPA051545	Uncertain		Uncertain	Cytoplasm	Expressed in all			cerebral cortex: 22.3
CHST11	C4ST, C4St-1, C4ST1, HSA269537	ENSG00000171310	Carbohydrate (chondroitin 4) sulfotransferase 11	12	104455295-104762014	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA052828	Uncertain		Uncertain	Golgi apparatus	Mixed			bone marrow: 28.7
CHST13	C4ST3	ENSG00000180767	Carbohydrate (chondroitin 4) sulfotransferase 13	3	126524283-126543291	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level						Group enriched	7	kidney: 1.8;liver: 7.3;spleen: 2.0;testis: 4.0	small intestine: 0.5
CHST4	HEC-GLCNAC-6-ST, LSST	ENSG00000140835	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4	16	71525233-71538746	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021955	Supportive				Tissue enriched	12	gallbladder: 64.1	fallopian tube: 5.2
CHST5	FLJ22167, I-GLCNAC-6-ST	ENSG00000135702	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	16	75528535-75535247	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043804	Uncertain				Group enriched	13	colon: 36.5;duodenum: 59.2;rectum: 35.9;small intestine: 55.0	stomach: 3.4
CHST6	MCDC1	ENSG00000183196	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	16	75472052-75495384	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	cerebral cortex: 3.9	fallopian tube: 1.5
CHST7	C6ST-2, C6ST2	ENSG00000147119	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7	X	46573784-46598408	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003919	Uncertain				Mixed			spleen: 8.2
CHST8	GALNAC-4-ST1	ENSG00000124302	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	19	33621955-33773509	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016004	Uncertain				Mixed			cerebral cortex: 1.1
CHSY1	CSS1, KIAA0990	ENSG00000131873	Chondroitin sulfate synthase 1	15	101175723-101251932	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048902	Uncertain				Expressed in all			placenta: 33.4
CHSY3	CHSY-2, CSS3	ENSG00000198108	Chondroitin sulfate synthase 3	5	129904472-130186634	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA044612	Uncertain				Mixed			gallbladder: 2.9
CHTF8	CTF8, DERPC, FLJ20400	ENSG00000168802	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	16	69118010-69132584	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051872, HPA065522	Uncertain		Supportive	Nucleus but not nucleoli	Expressed in all			fallopian tube: 66.9
CILP	HsT18872	ENSG00000138615	Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	15	65194758-65211488	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003195	Uncertain				Tissue enhanced	0	gallbladder: 35.9;smooth muscle: 39.7	adipose tissue: 26.2
CILP2	MGC45771	ENSG00000160161	Cartilage intermediate layer protein 2	19	19538248-19546659	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041847	Uncertain				Tissue enhanced	0	gallbladder: 1.5;testis: 2.4	adipose tissue: 0.5
CIRH1A	CIRHIN, FLJ14728, KIAA1988, NAIC, TEX292, UTP4	ENSG00000141076	Cirrhosis, autosomal recessive 1A (cirhin)	16	69131291-69231130	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041139	Uncertain				Expressed in all			testis: 30.9
CKLF	C32, CKLF1, CKLF3, CKLF4, HSPC224, UCK-1	ENSG00000217555	Chemokine-like factor	16	66552563-66566251	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Expressed in all			lymph node: 49.3
CKMT1A	CKMT1	ENSG00000223572	Creatine kinase, mitochondrial 1A	15	43692886-43699222	Enzymes, FDA approved drug targets, Mitochondrial proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA043491	Uncertain				Mixed			colon: 43.8
CKMT1B	CKMT, CKMT1, UMTCK	ENSG00000237289	Creatine kinase, mitochondrial 1B	15	43593054-43604901	Enzymes, FDA approved drug targets, Mitochondrial proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA043491	Uncertain				Tissue enhanced	0	colon: 33.5	rectum: 27.3
CLCA1	CaCC, CLCRG1	ENSG00000016490	Chloride channel accessory 1	1	86468368-86500289	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052787, HPA059301	Supportive				Group enriched	8	colon: 582.1;duodenum: 672.8;rectum: 869.6;small intestine: 1070.2	appendix: 97.7
CLCF1	BSF-3, BSF3, CISS2, CLC, NNT-1, NNT1, NR6	ENSG00000175505	Cardiotrophin-like cytokine factor 1	11	67364168-67374177	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA042444	Uncertain		Uncertain	Nucleus, Vesicles	Mixed			gallbladder: 14.6
CLDN15		ENSG00000106404	Claudin 15	7	101232092-101238820	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Group enriched	16	duodenum: 169.1;small intestine: 121.5	colon: 8.9
CLDN7	CEPTRL2, CPETRL2, Hs.84359	ENSG00000181885	Claudin 7	17	7259903-7263983	Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB013063, HPA014703	Supportive				Mixed			colon: 234.0
CLDND1	C3orf4	ENSG00000080822	Claudin domain containing 1	3	98497912-98523066	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA029841, HPA029842	Uncertain		Supportive	Nucleus, Nucleoli, Cytoplasm, Centrosome	Expressed in all			cerebral cortex: 210.1
CLEC11A	CLECSF3, LSLCL, P47, SCGF	ENSG00000105472	C-type lectin domain family 11, member A	19	50723329-50725718	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA042690	Uncertain		Uncertain	Centrosome	Tissue enriched	8	bone marrow: 59.6	endometrium: 7.5
CLEC16A	Gop-1, KIAA0350	ENSG00000038532	C-type lectin domain family 16, member A	16	10944488-11182189	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA035814, HPA035815, HPA061385	Uncertain		Supportive	Nucleus but not nucleoli, Cytoplasm, Vesicles	Expressed in all			testis: 37.3
CLEC18A	MRCL	ENSG00000157322	C-type lectin domain family 18, member A	16	69950705-69964452	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA048976	Uncertain				Tissue enriched	6	kidney: 11.7	testis: 2.0
CLEC18B		ENSG00000140839	C-type lectin domain family 18, member B	16	74408270-74421953	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA048976	Uncertain				Tissue enriched	5	kidney: 21.0	testis: 4.0
CLEC18C	MGC34761	ENSG00000157335	C-type lectin domain family 18, member C	16	70173322-70187361	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA048976	Uncertain				Tissue enriched	5	kidney: 14.2	testis: 2.7
CLEC19A		ENSG00000261210	C-type lectin domain family 19, member A	16	19285739-19322145	Predicted secreted proteins	Evidence at transcript level	No evidence	Evidence at transcript level		HPA042113	Uncertain				Not detected			cerebral cortex: 0.3
CLEC2B	AICL, CLECSF2, HP10085	ENSG00000110852	C-type lectin domain family 2, member B	12	9852984-9870136	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA008194	Uncertain				Mixed			skin: 37.3
CLEC3A	CLECSF1	ENSG00000166509	C-type lectin domain family 3, member A	16	78022515-78066761	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA051511	Uncertain				Tissue enhanced	0	gallbladder: 1.6;urinary bladder: 6.8	prostate: 1.0
CLEC3B	TN, TNA	ENSG00000163815	C-type lectin domain family 3, member B	3	45001548-45036071	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002582, HPA034794	Uncertain				Expressed in all			spleen: 204.6
CLGN		ENSG00000153132	Calmegin	4	140388455-140427968	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB020709, HPA048761, HPA058627	Supportive				Tissue enhanced	0	heart muscle: 28.7;testis: 84.2	prostate: 19.4
CLN5		ENSG00000102805	Ceroid-lipofuscinosis, neuronal 5	13	76990660-77002517	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA041788	Uncertain				Expressed in all			thyroid gland: 75.1
CLPS		ENSG00000137392	Colipase, pancreatic	6	35794982-35797344	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA010512	Uncertain				Tissue enriched	424	pancreas: 58979.3	ovary: 139.2
CLPSL1	C6orf127, dJ510O8.6	ENSG00000204140	Colipase-like 1	6	35781017-35793675	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	17	pancreas: 9.3	cerebral cortex: 0.5
CLPSL2	C6orf126, dJ510O8.5, UNQ3045	ENSG00000196748	Colipase-like 2	6	35776594-35779552	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA051655	Uncertain				Tissue enhanced	0	pancreas: 1.3;salivary gland: 0.6	thyroid gland: 0.2
CLPX		ENSG00000166855	Caseinolytic mitochondrial matrix peptidase chaperone subunit	15	65148219-65185342	Mitochondrial proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040262, HPA048199	Uncertain		Supportive	Mitochondria	Expressed in all			liver: 13.6
CLSTN3	CDHR14, CSTN3, KIAA0726	ENSG00000139182	Calsyntenin 3	12	7129698-7158945	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA046913	Uncertain				Expressed in all			cerebral cortex: 58.5
CLU	APOJ, CLI, CLU1, CLU2, KUB1, SGP-2, SP-40, TRPM-2	ENSG00000120885	Clusterin	8	27596917-27615031	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000476, HPA000572, CAB016253	Uncertain		Uncertain		Expressed in all			cerebral cortex: 5707.2
CLUL1		ENSG00000079101	Clusterin-like 1 (retinal)	18	596988-650334	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB025264, HPA044243	Uncertain				Tissue enhanced	0	prostate: 6.8	thyroid gland: 4.8
CMA1		ENSG00000092009	Chymase 1, mast cell	14	24505353-24508265	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000363, HPA052634	Supportive				Mixed			colon: 9.1
CMPK1	CMPK, UMP-CMPK	ENSG00000162368	Cytidine monophosphate (UMP-CMP) kinase 1, cytosolic	1	47333797-47378839	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053730, HPA058604	Uncertain				Expressed in all			duodenum: 127.0
CNBD1	FLJ35802	ENSG00000176571	Cyclic nucleotide binding domain containing 1	8	86866442-87615219	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA025037, HPA027469, HPA027786	Uncertain				Tissue enriched	18	testis: 7.3	spleen: 0.4
CNDP1	CN1, CPGL2, HsT2308, MGC10825	ENSG00000150656	Carnosine dipeptidase 1 (metallopeptidase M20 family)	18	74534440-74587212	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008933	Supportive				Group enriched	9	cerebral cortex: 47.5;liver: 20.7	duodenum: 3.7
CNPY2	Cnpy2, HP10390, TMEM4, ZSIG9	ENSG00000257727	Canopy FGF signaling regulator 2	12	56309842-56316336	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038465, HPA038466	Supportive		Supportive	Cytoplasm	Expressed in all			fallopian tube: 45.5
CNPY3	CAG4A, TNRC5	ENSG00000137161	Canopy FGF signaling regulator 3	6	42929192-42939287	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA016560	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm	Expressed in all			spleen: 61.1
CNPY4	MGC40499, PRAT4B	ENSG00000166997	Canopy FGF signaling regulator 4	7	100119613-100125511	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA014166, HPA025240	Uncertain		Uncertain	Vesicles	Expressed in all			ovary: 18.6
CNTFR		ENSG00000122756	Ciliary neurotrophic factor receptor	9	34551432-34590140	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025310, HPA036635	Uncertain		Uncertain	Golgi apparatus	Tissue enhanced	0	adipose tissue: 36.3	cerebral cortex: 21.7
CNTN1	F3, GP135	ENSG00000018236	Contactin 1	12	40692442-41072418	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB025200, HPA041060	Supportive		Uncertain	Vesicles	Tissue enhanced	0	cerebral cortex: 116.7	ovary: 39.5
CNTN2	AXT, TAG-1, TAX, TAX1	ENSG00000184144	Contactin 2 (axonal)	1	205043197-205078499	Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001397, HPA012497	Uncertain				Tissue enriched	10	cerebral cortex: 39.8	testis: 3.9
CNTN3	BIG-1, PANG	ENSG00000113805	Contactin 3 (plasmacytoma associated)	3	74262568-74521140	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003341	Uncertain				Tissue enhanced	0	fallopian tube: 7.7	cerebral cortex: 6.3
CNTN4	BIG-2	ENSG00000144619	Contactin 4	3	2098813-3057956	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA021068	Uncertain				Mixed			testis: 11.0
CNTN5	hNB-2, NB-2	ENSG00000149972	Contactin 5	11	99020953-100358885	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039492, HPA041223	Uncertain		Supportive	Cytoplasm	Tissue enhanced	0	placenta: 2.0;thyroid gland: 3.4	cerebral cortex: 1.5
CNTNAP2	Caspr2, KIAA0868, NRXN4	ENSG00000174469	Contactin associated protein-like 2	7	146116361-148420998	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002739	Supportive				Tissue enriched	9	cerebral cortex: 15.8	ovary: 1.7
CNTNAP3	CASPR3, CNTNAP3A, FLJ14195, KIAA1714	ENSG00000106714	Contactin associated protein-like 3	9	39072767-39288315	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA015604, HPA047731	Uncertain				Mixed			esophagus: 6.7
CNTNAP3B		ENSG00000154529	Contactin associated protein-like 3B	9	41890314-42129510	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA015604, HPA047731	Uncertain				Mixed			esophagus: 7.8
COASY	CoASY, DPCK, NBP, PPAT	ENSG00000068120	CoA synthase	17	42561467-42566277	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA022875, HPA022912, HPA023273	Uncertain		Supportive	Nucleus but not nucleoli, Cytoplasm	Expressed in all			duodenum: 31.8
COCH	COCH-5B2, DFNA31, DFNA9	ENSG00000100473	Cochlin	14	30874514-30895065	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA065086			Uncertain	Vesicles	Group enriched	7	pancreas: 98.9;prostate: 29.2	lymph node: 8.8
COG3	SEC34	ENSG00000136152	Component of oligomeric golgi complex 3	13	45464898-45536630	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040353	Uncertain		Supportive	Nucleus but not nucleoli, Plasma membrane, Golgi apparatus, Cytoplasm	Expressed in all			prostate: 16.6
COL10A1		ENSG00000123500	Collagen, type X, alpha 1	6	116118923-116158747	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	gallbladder: 13.2	ovary: 2.9
COL11A1	CO11A1, COLL6, STL2	ENSG00000060718	Collagen, type XI, alpha 1	1	102876467-103108496	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA052246	Uncertain		Uncertain	Cytoskeleton (Microtubules)	Tissue enhanced	0	placenta: 10.4	gallbladder: 3.0
COL11A2	DFNA13, DFNB53, HKE5	ENSG00000204248	Collagen, type XI, alpha 2	6	33162681-33192499	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 2.9;testis: 3.4	stomach: 1.5
COL12A1	COL12A1L	ENSG00000111799	Collagen, type XII, alpha 1	6	75084326-75206051	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA009143, HPA070695	Uncertain		Uncertain	Nucleus	Mixed			ovary: 71.7
COL14A1	UND	ENSG00000187955	Collagen, type XIV, alpha 1	8	120059780-120372036	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023781	Uncertain		Uncertain	Vesicles	Mixed			gallbladder: 135.6
